```plaintext
Top-level output,,Units,
,,,
Feedstocks,,,
,,,
Sugarcane,2500,tonne / day,
Moisture content,20%,wt%,
Dry biomass,=C5*(1-C6),tonne/day,
,,,
Pretreatment - Dilute Acid Pretreatment,,,
,,,
Sulfuric acid,18,mg/g biomass,
Soluble sugar conversion,48%,
,,,
Sulfuric acid flow,=C11*C12/1000,tonne/day,
Soluble sugars,=C11*C13,tonne/day,
,,,
Fermentation,,,
,,,
Bioconversion rate,85%,sugars to ethanol (ref),
Ethanol,=C20*C16,tonne/day,
,,,
,,,
Separation - Ethanol Purification,,,
,,,
Distillation ++,95%,ethanol extraction rate (ref),
Ethanol to storage,=C26*C21,tonne/day,
,,,
```
